Stock Name,Symbol,Sector,Industry,Market Cap(Rs. Cr.),Source_File
Davin Sons Retail Ltd.,DAVIN,Retailing,Retailing,17.19,sectors\retailing.csv
Heads UP Ventures Ltd.,HEADSUP,Retailing,Retailing,15.68,sectors\retailing.csv
JHS Svendgaard Retail Ventures Ltd.,RETAIL,Retailing,Retailing,14.69,sectors\retailing.csv
Sabrimala Industries India Ltd.,SIIL,Retailing,Retailing,13.33,sectors\retailing.csv
Shantiguru Industries Ltd.,SHANTIGURU,Retailing,Retailing,11.65,sectors\retailing.csv
Mayur Leather Products Ltd.,MAYUR,Retailing,Footwear,10.55,sectors\retailing.csv
Future Enterprises Ltd.-B-DVR,FELDVR,Retailing,Retailing,9.49,sectors\retailing.csv
3C IT Solutions & Telecom (India) Ltd.,3CIT,Retailing,Retailing,9.18,sectors\retailing.csv
Kalpa Commercial Ltd.,KALPACOMME,Retailing,Retailing,8.24,sectors\retailing.csv
NB Footwear Ltd.,NBFOOT,Retailing,Footwear,8.13,sectors\retailing.csv
Nivaka Fashions Ltd.,NIVAKA,Retailing,Retailing,5.55,sectors\retailing.csv
Mafia Trends Ltd.,MAFIA,Retailing,Retailing,2.0,sectors\retailing.csv
JLA Infraville Shoppers Ltd.,JSHL,Retailing,Retailing,1.54,sectors\retailing.csv
Ethos Ltd. - (Rights Entitlements (REs)),ETHOS-RE,Retailing,Retailing,0.0,sectors\retailing.csv
Praxis Home Retail Ltd. - (Rights Entitlements (REs)),PRAXIS-RE2,Retailing,Retailing,0.0,sectors\retailing.csv
Rockingdeals Circular Economy Ltd. - (Rights Entitlements),ROCK-RE,Retailing,Retailing,0.0,sectors\retailing.csv
Rockingdeals Circular Economy Ltd. - (Partly Paid-up Equity Shares on Rights),ROCKPP,Retailing,Retailing,0.0,sectors\retailing.csv
Mazagon Dock Shipbuilders Ltd.,MAZDOCK,Ship Building,Ship Building,104072.04,sectors\shipbuilding.csv
Cochin Shipyard Ltd.,COCHINSHIP,Ship Building,Ship Building,39330.58,sectors\shipbuilding.csv
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,Ship Building,Ship Building,30001.74,sectors\shipbuilding.csv
Swan Defence and Heavy Industries Ltd.,SWANDEF,Ship Building,Ship Building,12846.28,sectors\shipbuilding.csv
Knowledge Marine & Engineering Works Ltd.,KMEW,Ship Building,Ship Building,6928.26,sectors\shipbuilding.csv
Laxmipati Engineering Works Ltd.,LAXMIPATI,Ship Building,Ship Building,272.07,sectors\shipbuilding.csv
VMS Industries Ltd.,VMS,Ship Building,Ship Building,50.51,sectors\shipbuilding.csv
Bharti Airtel Ltd.,BHARTIARTL,Telecom,Telecommunication - Service  Provider,1243237.94,sectors\telecom.csv
Vodafone Idea Ltd.,IDEA,Telecom,Telecommunication - Service  Provider,152763.68,sectors\telecom.csv
Indus Towers Ltd.,INDUSTOWER,Telecom,Telecommunication - Service  Provider,101450.55,sectors\telecom.csv
Bharti Hexacom Ltd.,BHARTIHEXA,Telecom,Telecommunication - Service  Provider,81055.0,sectors\telecom.csv
Tata Communications Ltd.,TATACOMM,Telecom,Telecommunication - Service  Provider,48967.3,sectors\telecom.csv
HFCL Ltd.,HFCL,Telecom,Telecom-Infrastructure,34163.05,sectors\telecom.csv
ITI Ltd.,ITI,Telecom,Telecommunication - Equipment,26582.94,sectors\telecom.csv
Black Box Ltd.,BBOX,Telecom,Telecommunication - Equipment,14151.99,sectors\telecom.csv
Sedemac Mechatronics Ltd.,SEDEMAC,Telecom,Telecommunication - Equipment,13972.68,sectors\telecom.csv
Tejas Networks Ltd.,TEJASNET,Telecom,Telecommunication - Equipment,9567.88,sectors\telecom.csv
Railtel Corporation Of India Ltd.,RAILTEL,Telecom,Telecommunication - Service  Provider,9053.67,sectors\telecom.csv
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecom,Telecommunication - Service  Provider,7546.02,sectors\telecom.csv
Pace Digitek Ltd.,PACEDIGITK,Telecom,Telecom-Infrastructure,3906.91,sectors\telecom.csv
Bondada Engineering Ltd.,BONDADA,Telecom,Telecom-Infrastructure,3120.66,sectors\telecom.csv
Vindhya Telelinks Ltd.,VINDHYATEL,Telecom,Telecom-Infrastructure,2843.44,sectors\telecom.csv
Hathway Cable & Datacom Ltd.,HATHWAY,Telecom,Telecommunication - Service  Provider,1876.31,sectors\telecom.csv
Mahanagar Telephone Nigam Ltd.,MTNL,Telecom,Telecommunication - Service  Provider,1658.16,sectors\telecom.csv
GTL Infrastructure Ltd.,GTLINFRA,Telecom,Telecom-Infrastructure,1562.75,sectors\telecom.csv
Valiant Communications Ltd.,VALIANT,Telecom,Telecommunication - Equipment,1385.45,sectors\telecom.csv
STL Networks Ltd.,STLNETWORK,Telecom,Telecom-Infrastructure,1260.29,sectors\telecom.csv
ADC India Communications Ltd.,ADCINDIA,Telecom,Telecommunication - Equipment,1139.51,sectors\telecom.csv
Suyog Telematics Ltd.,SUYOG,Telecom,Telecommunication - Equipment,973.63,sectors\telecom.csv
Sar Televenture Ltd.,SARTELE,Telecom,Telecom-Infrastructure,542.85,sectors\telecom.csv
Kavveri Defence & Wireless Technologies Ltd.,KAVDEFENCE,Telecom,Telecommunication - Equipment,343.31,sectors\telecom.csv
Frog Innovations Ltd.,FROG,Telecom,Telecommunication - Equipment,335.2,sectors\telecom.csv
Precision Electronics Ltd.,PRECISIO,Telecom,Telecommunication - Equipment,254.6,sectors\telecom.csv
Reliance Communications Ltd.,RCOM,Telecom,Telecommunication - Service  Provider,226.77,sectors\telecom.csv
GTL Ltd.,GTL,Telecom,Telecommunication - Service  Provider,120.17,sectors\telecom.csv
Kore Digital Ltd.,KDL,Telecom,Telecom-Infrastructure,115.85,sectors\telecom.csv
Rama Telecom Ltd.,RTL,Telecom,Telecommunication - Service  Provider,109.62,sectors\telecom.csv
Maestros Electronics & Telecommunications Systems Ltd.,METSL,Telecom,Telecommunication - Equipment,76.84,sectors\telecom.csv
Accord Synergy Ltd.,ACCORD,Telecom,Telecommunication - Service  Provider,76.8,sectors\telecom.csv
Steelman Telecom Ltd.,STML,Telecom,Telecommunication - Service  Provider,65.8,sectors\telecom.csv
Punjab Communications Ltd.,PUNJCOMMU,Telecom,Telecommunication - Equipment,63.72,sectors\telecom.csv
Telogica Ltd.,TELOGICA,Telecom,Telecommunication - Equipment,60.42,sectors\telecom.csv
Quadrant Televentures Ltd.,QUADRANT,Telecom,Telecommunication - Equipment,33.67,sectors\telecom.csv
Shyam Telecom Ltd.,SHYAMTEL,Telecom,Telecommunication - Equipment,15.99,sectors\telecom.csv
Uniinfo Telecom Services Ltd.,UNIINFO,Telecom,Telecommunication - Equipment,12.51,sectors\telecom.csv
Cistro Telelink Ltd.,CISTRO,Telecom,Telecommunication - Equipment,5.49,sectors\telecom.csv
City Online Services Ltd.,CITYONLINE,Telecom,Telecommunication - Service  Provider,3.98,sectors\telecom.csv
Page Industries Ltd.,PAGEIND,Textile,Textile,41124.33,sectors\textile.csv
K.P.R. Mill Ltd.,KPRMILL,Textile,Textile,37912.3,sectors\textile.csv
LMW Ltd.,LMW,Textile,Textile - Machinery,20164.8,sectors\textile.csv
Vardhman Textiles Ltd.,VTL,Textile,Textile,17105.13,sectors\textile.csv
Arvind Ltd.,ARVIND,Textile,Textile,15553.92,sectors\textile.csv
Welspun Living Ltd.,WELSPUNLIV,Textile,Textile,15503.39,sectors\textile.csv
Vedant Fashions Ltd.,MANYAVAR,Textile,Textile,12821.96,sectors\textile.csv
Trident Ltd.,TRIDENT,Textile,Textile - Spinning,12398.46,sectors\textile.csv
Pearl Global Industries Ltd.,PGIL,Textile,Textile,11442.09,sectors\textile.csv
Swan Corp Ltd.,SWANCORP,Textile,Textile,9535.36,sectors\textile.csv
Indo Count Industries Ltd.,ICIL,Textile,Textile,7523.09,sectors\textile.csv
Garware Technical Fibres Ltd.,GARFIBRES,Textile,Textile,7348.53,sectors\textile.csv
Kusumgar Ltd.,KUSUMGAR,Textile,Textile,6327.31,sectors\textile.csv
Alok Industries Ltd.,ALOKINDS,Textile,Textile,5774.57,sectors\textile.csv
Gokaldas Exports Ltd.,GOKEX,Textile,Textile,5738.0,sectors\textile.csv
Lohia Corp Ltd.,LCL,Textile,Textile - Machinery,5599.45,sectors\textile.csv
Raymond Lifestyle Ltd.,RAYMONDLSL,Textile,Textile,4513.83,sectors\textile.csv
Sanathan Textiles Ltd.,SANATHAN,Textile,Textile - Spinning,3973.32,sectors\textile.csv
Filatex India Ltd.,FILATEX,Textile,Textile - Spinning,3619.52,sectors\textile.csv
Lux Industries Ltd.,LUXIND,Textile,Textile,3577.48,sectors\textile.csv
Jindal Worldwide Ltd.,JINDWORLD,Textile,Textile,3540.19,sectors\textile.csv
Kewal Kiran Clothing Ltd.,KKCL,Textile,Textile,3149.05,sectors\textile.csv
Nitin Spinners Ltd.,NITINSPIN,Textile,Textile - Spinning,3112.06,sectors\textile.csv
Sangam (India) Ltd.,SANGAMIND,Textile,Textile,3012.28,sectors\textile.csv
Siyaram Silk Mills Ltd.,SIYSIL,Textile,Textile - Weaving,2895.52,sectors\textile.csv
Ganesha Ecosphere Ltd.,GANECOS,Textile,Textile - Manmade  Fibres,2838.9,sectors\textile.csv
Jindal Poly Films Ltd.,JINDALPOLY,Textile,Textile,2788.98,sectors\textile.csv
Kitex Garments Ltd.,KITEX,Textile,Textile,2677.29,sectors\textile.csv
Sportking India Ltd.,SPORTKING,Textile,Textile,2530.0,sectors\textile.csv
Bombay Dyeing And Manufacturing Company Ltd.,BOMDYEING,Textile,Textile,2362.76,sectors\textile.csv
S.P. Apparels Ltd.,SPAL,Textile,Textile,2359.54,sectors\textile.csv
Cantabil Retail India Ltd.,CANTABIL,Textile,Textile,1985.15,sectors\textile.csv
SBC Exports Ltd.,SBC,Textile,Textile,1841.9,sectors\textile.csv
AYM Syntex Ltd.,AYMSYNTEX,Textile,Textile,1570.81,sectors\textile.csv
Dollar Industries Ltd.,DOLLAR,Textile,Textile,1548.63,sectors\textile.csv
